FEN,Moves,MateIn,Winner
r1bq1r1k/pp3pbN/4pNp1/3p4/2n4Q/8/PPP2PPP/2KR3R b - - 1 15,g7f6 h7g5 h8g7 h4h7,2,White
3Q4/pp3pbk/2p3p1/6p1/2P4R/7P/Pr2r1PK/5q2 b - - 1 33,g7h6 h4h6 h7h6 d8h8,2,Black
2r2rk1/2p4p/Q3R3/1p1n2p1/3P4/PP2P3/5qPP/B1R3K1 w - - 3 30,g1h1 f2f1 c1f1 f8f1,2,Black
6k1/5p2/5P1K/2p1P2P/R7/8/3p4/8 b - - 0 44,d2d1q a4a8 d1d8 a8d8,2,White
5r2/4pRkB/3p3p/p1p1b1p1/1qP1Q3/8/Pr5P/2K4R b - - 0 32,f8f7 e4g6 g7h8 g6g8,2,White
b5k1/8/4pQpB/2q2n2/1p2P3/3P2PB/2p4K/5N2 w - - 2 32,e4f5 c5f2 h3g2 f2g2,2,White
7k/p5bp/3p2p1/3B2Q1/2Pp1P2/1P2r2q/P4RKP/8 w - - 4 30,g2g1 e3e1 f2f1 h3f1,2,Black
1k1r3r/p1p2ppp/1p6/1N1Pp1q1/2B1Pn2/R3QP1b/PPP4P/2R4K w - - 4 23,c1g1 h3g2 g1g2 g5g2,2,Black
5r1k/pp1P2bp/6p1/3Q4/8/2N5/PP3qPP/R5K1 w - - 1 26,g1h1 f2f1 a1f1 f8f1,2,Black
8/8/R7/1p2n1kp/8/P1PB2KP/1P2r1P1/8 w - - 5 45,d3b5 h5h4 g3h2 e5f3 h2h1 e2e1 b5f1 e1f1,4,White
r5k1/1p3Qbp/p2N2p1/2pP4/2P2nq1/8/PP3PbP/4RBK1 b - - 0 24,g8h8 e1e8 a8e8 f7e8 g7f8 e8f8,3,White
R7/3q2pk/3P1pp1/2Q5/2p5/5nPP/3r2BK/4R3 w - - 1 37,h2h1 d7h3 g2h3 d2h2,2,Black
8/1Q2p1bp/3pk1p1/3N4/8/8/P1P2RPP/q5K1 w - - 0 27,f2f1 g7d4 d5e3 d4e3 g1h1 a1f1,3,Black
7R/2p2k2/8/7R/3b3p/7P/6P1/1r5K w - - 16 45,h1h2 d4g1 h2h1 g1f2 h1h2 f2g3,3,Black
r1k2Q1r/pp1n2pp/1Bp1p3/4P3/2q5/2N5/PP4PP/3RKR2 b - - 0 16,h8f8 f1f8 d7f8 d1d8,2,White
3r1r1k/1pq1bp2/4bNRB/3pP2Q/2p5/pP5P/P1P2PP1/R5K1 b - - 0 29,f7g6 h6g7 h8g7 h5h7,2,White
5Qk1/1p3ppp/p7/8/5B2/1PP5/q4PPP/4R1K1 b - - 0 24,g8f8 f4d6 f8g8 e1e8,2,White
r5k1/2p3b1/3p4/pPpPp3/P1P1Ppq1/8/R4QPr/6RK w - - 0 32,h1h2 g4h5 f2h4 h5h4,2,Black
R5k1/5pp1/7p/8/2p3Q1/1q2P3/3r1PPP/6K1 b - - 1 32,g8h7 g4f5 g7g6 f5f7,2,White
8/pp5p/7q/3P1pk1/6n1/1P2RpQP/P4P2/2r2K1R w - - 8 32,e3e1 h6a6 f1g1 c1e1,2,Black
6rk/5p2/4p1p1/p1p1q1PR/3pP3/P4Q2/1P5P/1R5K b - - 0 30,g6h5 f3h5 h8g7 h5h6,2,White
2k5/1b3Q1p/pqp5/3p4/5B2/8/PPP2nPP/R4R1K w - - 3 24,h1g1 f2h3 g1h1 b6g1 f1g1 h3f2,3,White
1k3r2/p2b4/Q1p1p3/2P5/7R/2B3P1/P1n4P/1r4K1 w - - 4 40,g1g2 c2e3 g2h3 e6e5 g3g4 f8f3,3,Black
4rQ1k/rpqb3p/pn1p2p1/2pP2B1/P1P1P1N1/1PbB3P/6K1/R4R2 b - - 1 21,e8f8 f1f8 h8g7 g5h6,2,White
R1kr4/1b3pp1/4pn1p/1BNnB3/8/2P1pP2/1K4PP/8 b - - 2 30,b7a8 b5a6 a8b7 a6b7,2,White
3Q4/7k/p7/1p1Bp3/4P1Pp/P1N3n1/1P3RP1/2q3K1 w - - 1 40,c3d1 c1d1 f2f1 d1f1 g1h2 f1h1,3,Black
4Q3/5pkp/6p1/3R4/3p2b1/3P2P1/1rP3P1/R4K1q w - - 1 34,f1f2 b2c2 e8e2 c2e2,2,Black
7r/p1p2kp1/8/3p3p/4bq2/1P5P/PBP4K/R2Q2R1 w - - 0 23,g1g3 f4f2 g3g2 f2g2,2,Black
2kr4/1p1P1Rp1/pQp4p/2P5/P1q5/7P/6P1/7K b - - 0 37,d8d7 f7f8 d7d8 b6d8,2,White
4Q1k1/3K2p1/2r1p1p1/3pP3/1np2PP1/4P3/2R5/3rq3 b - - 1 49,g8h7 c2h2 e1h4 h2h4,2,White
6k1/1ppn3p/p2b2pQ/3P4/8/1P4NP/PBP2qP1/3Rr2K w - - 1 27,d1e1 f2e1 g3f1 e1f1,2,Black
r1b4k/1p3QBp/p3n3/2q1p3/3NP3/2P5/P1P3PP/5RK1 b - - 2 25,e6g7 f7f8 c5f8 f1f8,2,White
7r/1pp2kb1/p2p2r1/2PPp3/PP2PN1K/2NB4/2R4P/8 w - - 1 31,f4h5 g7f6 h4h3 h8h5,2,Black
r3r3/1R6/p7/k6p/2q2Q2/8/PPP3PP/7K w - - 0 37,f4c4 e8e1 c4f1 e1f1,2,White
4r1k1/2RQ1p2/1pP3pb/1P6/3Pp1qp/4P2n/1B1N1Pb1/5BK1 w - - 2 30,g1h2 h6f4 e3f4 g4f4 h2g2 f4f2 g2h3 f2g3,4,Black
rnb1Q1k1/ppq3p1/2p1pr1P/2Pp2p1/3Pp3/8/PP2PPP1/R3KB1R b KQ - 2 16,f6f8 h6h7 g8h8 e8f8,2,White
6k1/p7/1p3P2/3q3b/5K2/P1P3Q1/1P6/8 b - - 1 46,g8f7 g3g7 f7e6 g7e7,2,White
qn3N2/4brpk/2n4p/5Q1P/3P4/4B3/1P3PP1/6K1 b - - 1 28,h7g8 f5h7 g8f8 h7h8,2,White
rn1q1r1k/p4pRQ/4pn2/2p1N3/3P1p2/7P/PpP2P2/1K4R1 b - - 1 21,f6h7 g7g8 f8g8 e5f7,2,White
r2r2k1/pp3ppp/4p3/4P1P1/4q1Pn/2P5/P3Q2P/R1B4K w - - 0 22,e2e4 d8d1 e4e1 d1e1,2,Black
5bk1/1N3ppp/3p4/P2P4/2N5/BP6/r3nnPP/5R1K w - - 0 30,f1f2 a2a1 a3c1 a1c1 f2f1 c1f1,3,Black
r4rk1/1b2qp1p/2p1p1PQ/4N3/p2P4/2nB2P1/1pP2P2/1K1R3R w - - 2 21,b1b2 e7b4 b2a1 b4a3,2,Black
5r1k/1pp2Np1/1p3p2/3Q4/1P5q/3B1P2/3r1P2/5RK1 b - - 3 35,f8f7 d5d8 f7f8 d8f8,2,White
2r4k/2r2pq1/p2p1Np1/1p1Pp1QR/nP2P3/2P5/5PPP/2R3K1 b - - 0 33,g6h5 g5h5 g7h6 h5h6,2,White
2rQ2k1/pb4p1/1q2p1Pp/1pr5/4PP2/8/PPPR2B1/1K1R4 b - - 2 29,c8d8 d2d8 b6d8 d1d8,2,White
8/pp3rk1/7p/4P1p1/1P2Q3/P3P1P1/3R2r1/1Bq1K2R w K - 5 36,d2d1 c1c3 d1d2 c3d2,2,Black
6k1/Q6p/2p1p1p1/2Pp1r2/3PqP2/P3P3/6Rr/6RK w - - 0 31,h1h2 f5h5 h2g3 e4e3 g3g4 e3h3,3,Black
4rR1k/ppp1Q1bp/2q3p1/8/P7/6N1/7K/5R2 b - - 4 31,g7f8 f1f8 e8f8 e7f8,2,White
2R5/p3r1kR/1p1bP3/4pBp1/3p4/5bB1/r5P1/4K3 b - - 3 31,g7f6 c8f8 e7f7 h7f7,2,White
3r2k1/p4ppp/2p1b3/2Q1p1bP/1p2P1P1/5P2/qPP1N3/1NK2B1R w - - 1 19,f3f4 g5f4 e2f4 a2b1 c1b1 d8d1,3,Black
6k1/pp4p1/2p1p1rp/8/PP1pP2q/1Q1P2r1/4RP2/5RK1 w - - 0 28,f2g3 h4g3 g1h1 g3h3 e2h2 h3f1,3,Black
4r1k1/p5pp/1p3pb1/2P5/3p1Q2/8/1B3PPP/5qK1 w - - 0 27,g1f1 g6d3 f1g1 e8e1,2,Black
3r1r2/1bp1Nk2/p1p2P2/7p/4Q3/1P6/PBP2PPP/5RK1 w - - 1 23,f1d1 d8d1 e4e1 d1e1,2,White
1k1rq2r/2pb4/Q1N1p2n/PN1p1ppp/3P4/4P2P/1PP2PP1/R3K2R b KQ - 0 17,d7c6 a6a7 b8c8 a7c7,2,White
r2R2k1/pp2Qppp/4q3/8/2P5/8/PP3PPP/6K1 b - - 1 24,a8d8 e7d8 e6e8 d8e8,2,White
4k3/1R5R/3p4/2pP2K1/r7/6rP/8/8 w - - 1 47,g5f6 a4f4 f6e6 g3g6,2,White
3r4/R3kpBb/2pp2p1/1p2p1P1/1P2Pn1P/1BKPq3/1PP5/8 b - - 10 33,d8d7 g7f6 e7f8 a7a8 d7d8 a8d8,3,Black
5rk1/p4pbp/3Q2p1/2p5/q3N3/1r2BP2/P5PP/1K1R3R w - - 0 19,a2b3 a4b3 b1c1 b3b2,2,Black
7k/2pQ2p1/p7/4r2p/8/1PP3P1/P2K1q1P/2RR4 w - - 2 30,d2d3 f2e2 d3d4 c7c5,2,Black
3r2r1/2p2pRk/4p2p/p2bP2N/1p3P1Q/7P/1P1q2PK/8 b - - 0 34,g8g7 h5f6 h7h8 h4h6 g7h7 h6h7,3,White
2k4r/pp3p1r/2p5/4pRq1/1PPbPnP1/P2Pp1KP/8/1R2Q1N1 w - - 0 30,f5g5 h7h3 g1h3 h8h3,2,Black
7k/6rp/1p1pP3/p4r2/P1R5/2P5/2P5/4R1K1 w - - 2 34,g1h2 f5h5 c4h4 h5h4,2,Black
7r/3n2p1/4p1k1/1P1p1rNq/2pP4/Q5p1/PP4P1/R1B2RK1 w - - 4 30,g5h3 f5f1 g1f1 h5d1,2,Black
8/2q5/8/8/1P6/1K3R1P/8/1k6 b - - 7 59,c7e5 f3f1 e5e1 f1e1,2,Black
r1R3k1/pp3p1p/3Q2p1/6Pn/2R5/8/Pq5P/6K1 b - - 1 31,a8c8 c4c8 g8g7 d6f8,2,White
5rk1/4R2p/Q5p1/1p6/2rP4/7P/P4q2/6RK b - - 1 32,f2d4 a6e6 g8h8 e7h7 h8h7 e6g6 h7h8 g6h6,4,Black
2k1r3/ppp3b1/7p/3Q1p2/PP2qPp1/1NP5/5PPP/R2Rr1K1 w - - 1 24,d1e1 e4e1 a1e1 e8e1,2,Black
6k1/p4r1p/1p1r4/2ppb1p1/4p3/2P1BbPq/PP3PNK/R3R1Q1 w - - 0 26,h2h3 d6h6 g2h4 g5g4 h3h2 h6h4,3,Black
5r2/5p1k/1b4p1/2n1P3/q5NQ/7P/2P3P1/5RK1 b - - 3 36,h7g8 g4f6 g8g7 h4h7,2,White
8/1k4B1/3p3p/3P2pP/Q3P3/6P1/4bbBK/6q1 w - - 3 50,h2h3 g5g4 h3h4 g1h2 g2h3 h2h3,3,Black
2bR1rk1/6p1/p3p3/4ppQ1/7R/6P1/Pqr2P1P/6K1 b - - 1 25,c8b7 h4h8 g8h8 d8f8 h8h7 g5h5,3,Black
r4kr1/pp1Q1p2/4p3/2N4p/2Pp4/P2P1nqP/1P3RP1/5R1K w - - 5 24,g2f3 g3h3 f2h2 h3f1,2,White
r5k1/5R1p/1p2N1p1/3PN3/2P1n2P/4b3/6PK/3q4 b - - 1 36,d1g4 f7g7 g8h8 e5f7,2,Black
8/p1p2Qpk/7p/4N3/3rb3/P7/6qP/6RK w - - 0 30,g1g2 d4d1 f7f1 d1f1,2,Black
1r4k1/p4ppp/Q1n5/3b4/3P1Pq1/B5r1/P2N3P/R3RBK1 w - - 0 26,h2g3 g4g3 f1g2 g3g2,2,Black
6k1/p1q2p1p/3N1Qp1/3P4/1p2Pn2/3n1P2/PP1R2PP/5rK1 w - - 0 29,g1f1 c7c1 d2d1 c1d1,2,Black
2r4k/p3q1B1/5pP1/1p1rp2Q/2p1P3/7P/P4P2/4R1K1 b - - 0 32,h8g7 h5h7 g7f8 h7h8,2,White
2Rr3k/6p1/4Q2p/1p5K/4B1PP/4n3/P1p5/3q4 b - - 0 41,c2c1q e6e8 d8e8 c8e8,2,White
5r1k/p4p1R/8/1P1Q4/7b/5P2/PBq2P1P/7K b - - 0 26,h8h7 d5h5 h7g8 h5h8,2,White
3b1rk1/p1p3pp/1p2Q2N/8/1qP5/4P1P1/P4P1P/6K1 b - - 1 31,g8h8 e6g8 f8g8 h6f7,2,White
3r4/7R/2pr1kR1/5B2/1b1pPp2/5K1P/8/8 b - - 5 41,f6e5 h7e7 d6e6 g6e6,2,White
r4r1k/5p1R/pq2n3/1p2PN2/P1p2Q2/2P3P1/6KP/R7 b - - 0 24,h8h7 f4h6 h7g8 f5e7,2,White
1rQ3k1/3R1ppp/4p3/p3P3/8/4Pq2/PPP4P/2KR4 b - - 0 21,b8c8 d7d8 c8d8 d1d8,2,White
5r1k/pp3rpp/2p5/3p4/P2Pp3/1B2P1Pb/1P1Q3P/R3RqK1 w - - 1 25,e1f1 f7f1 a1f1 f8f1,2,Black
2b2k2/p5p1/1pR2nQp/3p4/5n2/P5N1/1P3PPP/1B2r1K1 w - - 1 26,g3f1 f4e2 g1h1 e1f1,2,Black
6k1/5p1p/3p2p1/qpp3P1/2B2P2/1pP4P/1P1B4/1rKRR3 w - - 0 29,c1b1 a5a2 b1c1 a2a1,2,Black
r4rk1/1p1b1p1p/p3p1pQ/2pp2N1/P7/2b5/2P1BPPP/6K1 b - - 1 21,f8d8 h6h7 g8f8 h7f7,2,White
1k5r/1Pqrbp2/p1N1p3/3pPbPp/P2B1p1P/1QP5/1R3P2/4R1K1 b - - 0 34,c7c6 d4a7 b8a7 b7b8q h8b8 b3b8,3,White
6k1/2R3b1/5Bp1/3p4/7p/1P3Q2/rP3PPP/6K1 w - - 0 28,f6g7 a2a1 c7c1 a1c1 f3d1 c1d1,3,White
1k3r2/bpp5/p1b4p/6p1/NP6/PB6/1BPr1nPP/3R1RK1 w - - 0 26,d1d2 f2h3 g1h1 f8f1,2,Black
3r2k1/5ppp/2q1p3/4P3/rPRB4/4P3/5PPP/6K1 w - - 0 26,c4c6 a4a1 d4a1 d8d1,2,Black
7k/6p1/8/2Np1p2/3P3P/1prbPP2/1P1N2R1/K1r4R w - - 2 33,h1c1 c3c1 d2b1 c1b1,2,Black
1R6/8/8/2p5/r7/8/kpK5/8 b - - 1 60,a4b4 b8a8 b4a4 a8a4,2,Black
5Q2/p4R2/3p2pk/2b5/8/7P/Pq2r1PK/8 b - - 1 28,h6h5 f7h7 h5g5 h3h4 g5g4 f8f3,3,White
r4rk1/3Q1Qpp/1p6/p7/P7/7P/4q1P1/5RK1 b - - 0 37,f8f7 d7f7 g8h8 f7f8 a8f8 f1f8,3,White
r2q1rkR/pp3p2/1bp2Pb1/5p2/1PnP4/P7/5PP1/R1Q1K3 b Q - 1 20,g8h8 c1h6 g6h7 h6g7,2,White
r6r/p1R3pp/4p3/P3Q3/2kP4/1pP5/1P4qP/R3K3 b Q - 5 24,c4d3 e1c1 g2d2 d1d2,2,White
5rk1/p4Qpp/8/5R2/8/2P2P2/P2q2PP/4R2K b - - 0 28,f8f7 e1e8 f7f8 f5f8,2,White
1k3r2/pp2p1bp/2p1Pr1p/3pN3/PP1P4/2P4Q/6PP/R3Rq1K w - - 2 25,e1f1 f6f1 a1f1 f8f1,2,Black
3r1k2/2p2pQ1/1p3P2/p2P3p/PnP5/3q2B1/1P2N2K/8 b - - 4 37,f8e8 g7g8 e8d7 g8f7 d7c8 f7c7,3,White
r2qr2k/p1pb1p1p/2p2P1B/2bp2Q1/8/8/PPP3PP/RN3R1K b - - 8 19,e8g8 h6g7 g8g7 g5g7,2,White
8/4kp1p/Q5pP/p3n3/3p2K1/3Bq3/2P5/5R2 w - - 0 42,g4h4 g6g5 h4h5 e3h3 h5g5 h3g4,3,Black
8/1q2Q2p/p2r1pp1/Rp3p1k/2pP1P2/2P1P1P1/5K2/R7 b - - 0 37,b7e7 a1h1 h5g4 h1h4,2,White
2Q1Q3/8/4p2p/1p4k1/6pq/1P3P2/P5PK/8 w - - 3 41,h2g1 h4e1 g1h2 g4g3 h2h3 e1h1 h3g3 h1h4,4,Black
rn2r1k1/p4ppp/2pB4/1p3B2/8/1Q6/PP2qPPP/R4K1R w - - 1 18,f1g1 e2e1 a1e1 e8e1,2,Black
r1R3k1/p4ppp/6b1/6B1/4r3/6PQ/q4P1P/4R1K1 b - - 1 23,a8c8 h3c8 e4e8 c8e8,2,White
3r1r1k/1R2N1pp/p3p3/8/3BQ3/8/P2q1PPP/4R1K1 w - - 3 24,d4a1 d2f2 g1h1 f2f1 e1f1 f8f1,3,White
2kr3r/ppp2ppp/2nb4/8/6n1/P1NP1N1q/1PP1BP1P/R1BQR1K1 w - - 2 12,e2f1 d6h2 f3h2 h3h2,2,Black
r1q2r1k/4R1p1/1pNn1pPQ/1PpP3P/p1P5/2K5/1P6/6R1 b - - 0 33,g7h6 e7h7 h8g8 c6e7,2,White
8/pkR5/1p6/3N4/2PR4/3K1p2/PP3q2/6q1 b - - 0 35,b7a6 d5b4 a6a5 b4c6 a5a4 c7a7,3,Black
1n3rk1/6pp/7N/8/3q4/8/Q4RPP/1q3BK1 b - - 1 32,g8h8 a2g8 f8g8 h6f7,2,White
8/5pk1/6pp/1N6/1PP2P2/1R2R1PK/4r2r/8 w - - 0 39,h3g4 f7f5 g4f3 h2f2,2,Black
r3nrk1/1pp2p1Q/p1np2p1/8/4PPR1/1P3P2/qBP1N2P/6RK b - - 0 23,g8h7 g4h4 h7g8 h4h8,2,White
8/p7/3kp2p/8/5q2/3P4/r5PP/5R1K w - - 0 33,f1f4 a2a1 f4f1 a1f1,2,Black
r5rk/5p1p/p7/1p3P1N/8/1PQ4K/1PP5/2q5 b - - 4 35,f7f6 c3f6 g8g7 f6g7,2,White
r4k2/ppp2p1p/3p3B/3n1r2/4R3/8/P4P1P/4R1K1 b - - 7 26,f8g8 e4e8 a8e8 e1e8,2,White
r1b1rk2/pp1n1R2/3b1n1P/2pp2Q1/3P4/2N2P2/Pq2P3/2R1KB2 b - - 1 24,f8f7 g5g7 f7e6 f1h3 f6g4 h3g4,3,White
2r2r2/2p2kQ1/6Rp/3P4/2P5/7P/1P4PK/5q2 b - - 2 32,f7e8 g6e6 e8d8 g7e7,2,White
6Q1/5p2/4pp2/pp3k2/3P1P2/P5PK/5r2/3b4 w - - 4 47,g8f7 d1g4 h3h4 f2h2,2,White
4Q3/6pk/1p2B2p/p1p5/P6b/1P1r3P/4RKP1/8 w - - 7 49,f2f1 d3d1 e2e1 d1e1,2,White
3q1rk1/pb2b3/1p2pR1P/6N1/3P4/3Q4/PP4P1/1B4K1 b - - 0 27,f8f6 d3h7 g8f8 h7h8,2,White
1Rk5/2pqnp2/1p1p2p1/1p1Pp2r/4P3/3Q1P2/1BPK1P1p/R7 b - - 0 32,c8b8 d3a3 c7c6 a3a8 b8c7 a1a7,3,White
1Rr3k1/2P2p1p/4nBp1/4P3/7P/p5P1/1p3PK1/8 b - - 1 32,b2b1q b8c8 e6f8 c8f8 g8f8 c7c8r,3,White
8/1pB4k/p3Q2p/6q1/2PP4/P4pP1/5PnP/1R4K1 w - - 3 28,b1b7 g5c1 e6e1 c1e1,2,White
r1bqr1kR/1p2bpp1/2p1p3/2PpP3/1p6/2NBP1P1/P4PP1/R2QK3 b Q - 1 17,g8h8 d1h5 h8g8 h5h7 g8f8 h7h8,3,White
2r2r2/2q1bRkB/p6p/np2p1NQ/P5b1/2P1n3/1P1N2PP/R5K1 b - - 0 25,f8f7 h5g6 g7h8 g5f7,2,White
8/pR5p/6k1/3P4/8/P1B3PK/1P2r2r/8 w - - 0 37,h3g4 h7h5 g4f3 h2f2,2,Black
r5k1/7p/p2p2p1/1ppP3q/2PbNB2/1P1B1P2/P1Q5/1R1R1b1K w - - 3 27,f4h2 h5f3 c2g2 f1g2,2,Black
r4r1k/p3Np1p/1p1p1P1P/4p1Q1/4P1K1/2q3P1/6B1/8 b - - 1 32,f8g8 g5g7 g8g7 f6g7,2,White
r6r/pR4p1/3p1pkq/2P1p1p1/3PP3/P3Bb2/5PQ1/4RBK1 w - - 5 28,f1c4 h6h1 g2h1 h8h1,2,Black
k1Rr4/1p5p/pq6/4QP2/3r4/3p4/PP4PP/2R4K b - - 1 36,d8c8 c1c8 a8a7 e5b8,2,White
b3r1k1/Q5pp/1N6/2p2p2/2P4n/5P2/1BBb2qP/6RK w - - 0 30,g1g2 e8e1 g2g1 a8f3,2,Black
r3rk1Q/2q1ppb1/2p2n2/p2nP3/1p3P2/8/PPP1N3/1NK3RR b - - 6 24,g7h8 h1h8 f6g8 g1g8,2,White
5k2/5P2/P4K2/8/1p5p/P6p/7P/8 b - - 0 54,b4a3 a6a7 a3a2 a7a8q,2,White
r6k/6p1/p2q1rbR/1pp3Q1/8/P2P3R/BPP2P1P/7K b - - 0 32,g7h6 g5h6 g6h7 h6h7,2,White
5rk1/p5bR/4RPP1/3p4/8/2p5/P1P5/2K5 w - - 1 41,f6g7 f8f1 e6e1 f1e1,2,White
5r1r/1b2p1k1/p3Q1p1/3pN1P1/1q1P4/2n1PN2/P2K4/8 b - - 3 29,f8f3 e6g6 g7f8 e5d7,2,Black
8/RP4p1/P5k1/8/7P/2b1Bp1P/5P2/3r2K1 w - - 1 41,g1h2 c3e5 e3f4 e5f4,2,Black
3r2k1/pQp2ppp/8/8/6b1/2q1P3/P3KPPP/3R1B1R w - - 2 18,f2f3 c3c2 e2e1 d8d1,2,Black
r2qr2k/pp1b1p1p/2p2p1B/2bppN2/2P1P1Q1/P6P/1PP2PP1/R3K2R b KQ - 3 15,e8g8 h6g7 g8g7 g4g7,2,White
6rk/p5r1/1p3Q2/5P1B/7R/7n/PPP1R1P1/3q3K w - - 2 40,h1h2 d1g1 h2h3 g1h1,2,Black
2r3k1/R5R1/2b1p1K1/2n1Pp2/5P2/5P2/1p2P3/8 b - - 1 41,g8f8 a7f7 f8e8 g7g8,2,White
r3k3/1pp1qp2/p3N3/8/P2P2p1/2P3p1/1P2Q1P1/2R2RKr w q - 1 23,g1h1 e7h4 h1g1 h4h2,2,Black
r1b1kr2/2p5/1p1p3p/p2P3Q/2PNP3/2Nn2qp/PP6/5R1K b q - 1 27,e8e7 d4c6 e7d7 f1f7 f8f7 h5f7,3,White
5rk1/5p2/p4R1p/1p4Q1/3p4/6RP/6PK/1B2q3 b - - 0 32,h6g5 g3g5 g8h8 f6h6,2,White
2r3k1/5pp1/7p/4p3/8/8/3R1QPP/qr4BK b - - 7 33,c8c1 d2d8 g8h7 f2f5 g7g6 f5f7,3,Black
rn1q2k1/pp3Q2/2p3p1/6Pr/3P4/5R2/PP4P1/R5K1 b - - 2 24,g8h8 f7f8 d8f8 f3f8 h8g7 a1f1 h5g5 f1f7 g7h6 f8h8,5,White
3rr1k1/1p3R1p/2p1Q1pB/7P/p1P5/8/2q3P1/5R1K b - - 2 28,e8e6 f7f8 d8f8 f1f8,2,White
1b1r1k2/ppqn2p1/2p1Qp2/4p2B/2P5/1P5P/P4P1B/3R1K2 b - - 5 33,d7c5 d1d8 c7d8 e6f7,2,White
7k/1R5P/6K1/3B2p1/5bP1/4pr2/8/8 b - - 1 50,e3e2 b7g7 e2e1q g7g8,2,White
r3k3/ppp5/3p1n1p/4p3/7q/P2P2r1/1PP1QP1n/R1B3KR w q - 0 21,f2g3 h4g3 e2g2 h2f3 g1f1 g3e1,3,Black
3r3k/p4Bp1/6Qp/2p3NR/1p6/1Pn5/PKP3P1/2q5 w - - 5 32,b2c1 d8d1 c1b2 d1b1,2,Black
5rk1/5p1p/8/5Q2/1nP1p3/4Pp2/Pr2qPPP/4RK1R w - - 0 24,e1e2 f3e2 f1e1 b4d3,2,Black
2k5/1p3Bp1/p1pp2p1/8/P2NP1q1/3P2b1/1PP5/R4RKr w - - 0 26,g1h1 g4h3 h1g1 h3h2,2,Black
r2Q3k/7p/4b3/1p2p3/2p1qp2/P7/1P5P/2KR2R1 b - - 1 33,a8d8 d1d8 e6g8 g1g8,2,White
5r2/8/2R1B1pk/1pP1P3/4p2p/7P/PP1r1qPQ/5RK1 w - - 0 30,f1f2 d2d1 f2f1 f8f1,2,Black
8/R7/8/8/8/5Kp1/7b/6kn b - - 15 73,h1f2 a7a1 f2d1 a1d1,2,White
2rq1r1k/1p1b1p1p/p3pNP1/4P1N1/3p1P2/3nb3/PP2B3/1K1R3R b - - 0 21,h8g7 h1h7 g7g6 e2d3,2,White
8/bp3p1k/2p2Q1p/p3B2P/2qP2r1/P7/1P3P2/3R1K2 w - - 2 34,f1e1 g4e4 e1d2 e4e2,2,Black
r4r2/2q1bp1k/p2p1p1p/1pp1n2Q/2PpP2R/3P3P/PP1N2P1/R5K1 b - - 4 27,f8h8 h5h6 h7g8 h6h8,2,White
1Q4k1/4rp1p/q5pP/2pP4/p1P1r3/Pp2R3/1P4P1/1KR5 b - - 1 33,e7e8 b8e8 e4e8 e3e8,2,White
5r1k/p5pp/4Q1b1/8/4p3/4n1P1/PP2RRBP/2q4K w - - 1 28,g2f1 c1f1 f2f1 f8f1,2,Black
4r1k1/2R2p1p/5pb1/p2N4/2P2Q2/1P6/P4PPP/2K1q3 w - - 3 24,c1b2 e8e2 b2a3 e2a2 a3a2 e1b1 a2a3 b1a1,4,Black
4r1k1/5pR1/p2Q3p/3P4/2p2K2/2Pq1P1R/P1b3PP/5r2 b - - 0 36,g8g7 d6h6 g7g8 h6h8,2,White
6rk/5pQp/5Pp1/5q2/2p1R3/2B5/1P4PP/7K b - - 6 38,g8g7 f6g7 h8g8 e4e8,2,White
2Q5/6pk/2n4p/p3p2K/2p1bp2/P6r/6rP/R5R1 w - - 4 37,c8h3 g7g6 h5h4 g6g5 h4h5 e4g6,3,Black
6rk/p6p/1p2p1r1/2bpPp2/P1p2P2/2P2BPq/1PQ3RK/R7 w - - 0 39,h2h3 g6h6 f3h5 h6h5,2,Black
r1b2r2/1pq1bpkQ/4p3/3p4/p2p3P/3B1n2/PPP1NP2/2KR3R b - - 1 18,g7f6 h7h6 f6e5 h6f4,2,White
r1bq1r1k/5p1p/p3nPpQ/1p1pP3/2nP2R1/2NB3P/PP6/R6K b - - 4 27,f8g8 h6h7 h8h7 g4h4,2,White
7k/p5pp/3p4/b3p3/4B2P/2q1Pr2/5Q1B/2NK3b w - - 0 31,e4f3 h1f3 f2f3 c3d2,2,Black
4r1k1/1b2P1pp/4Q3/p7/8/2p3qP/P5P1/5R1K b - - 1 35,g8h8 f1f8 e8f8 e7f8q,2,White
4r1qk/5pQp/p2p1P2/1p3N2/2p3Rp/P6P/1P4PK/5r2 b - - 7 39,g8g7 f6g7 h8g8 f5h6,2,White
r3r1k1/pR4p1/2p1pp2/3p3Q/8/8/q4PPP/2R3K1 b - - 1 25,a2d2 h5f7 g8h8 f7g7,2,White
1R4k1/5p2/p2QpPp1/8/6qr/2P4P/7K/8 b - - 1 33,g8h7 b8h8 h7h8 d6f8 h8h7 f8g7,3,White
r1bq2kr/pppp2pp/2nb1n2/6N1/4Pp2/1QP5/PP1P2PP/RNB1K2R b KQ - 1 8,f6d5 b3d5 g8f8 d5f7,2,White
3k1r2/2p2q2/p1Qp3p/P1b1p3/2P3pN/2P5/6PP/1R1R1r1K w - - 4 32,d1f1 f7f1 b1f1 f8f1,2,Black
r3r1k1/1p1b1p1Q/p3nBp1/4Pp2/5P2/2N3R1/P1q3PP/5R1K b - - 0 25,g8h7 g3h3 h7g8 h3h8,2,White
